dateTime,latitude,longitude,uaqi,uaqi_category,uaqi_dominant_pollutant,idn_menlhk,idn_menlhk_category,idn_menlhk_dominant_pollutant,co,no2,o3,pm10,pm25,so2,health_general,health_elderly,health_lung_disease,health_heart_disease,health_athletes,health_pregnant,health_children
2024-11-26 07:42:06.599462,68.18369029851138,115.35774052538795,354,Hazardous,so2,79,Moderate,pm10,86.68,193.99,34.3,191.47,172.75,72.69,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 05:15:06.599480,36.68756396602872,-110.0517899717105,450,Hazardous,pm10,388,Hazardous,no2,148.94,137.5,175.89,30.27,117.27,4.29,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 07:16:06.599492,4.004032766747827,-56.01034755073718,440,Hazardous,so2,364,Hazardous,o3,189.95,92.53,87.41,100.87,137.11,5.87,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 11:23:06.599509,50.56616307556823,173.51183907976048,352,Hazardous,o3,379,Hazardous,o3,70.91,57.66,192.77,116.68,119.39,65.45,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 05:07:06.599527,-31.14934989306161,54.77984787581343,116,Unhealthy for Sensitive Groups,co,497,Hazardous,no2,180.07,98.52,153.66,163.61,122.92,115.1,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 02:08:06.599544,79.9514823674285,92.75935943035785,326,Hazardous,no2,151,Unhealthy,pm10,179.27,94.52,187.41,18.99,35.93,139.68,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 04:10:06.599556,-48.01932681957228,-144.47309346696315,369,Hazardous,co,256,Very Unhealthy,pm25,16.05,74.97,153.54,78.9,163.52,11.92,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 10:23:06.599568,77.87709141359787,158.9174633710835,358,Hazardous,co,182,Unhealthy,so2,42.36,77.07,124.23,8.58,65.27,148.91,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 11:29:06.599579,-0.886174840478958,55.63860130060749,226,Very Unhealthy,no2,182,Unhealthy,no2,128.32,61.37,94.53,26.09,10.13,10.71,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 06:33:06.599591,36.13900146081531,-162.28938399578564,428,Hazardous,so2,479,Hazardous,so2,195.8,53.46,97.8,181.29,167.64,162.07,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 12:09:06.599602,-39.75725331239209,162.11484979610896,294,Very Unhealthy,so2,234,Very Unhealthy,pm10,191.98,40.0,198.97,141.68,19.57,170.45,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 22:13:06.599613,-59.67441258072361,-144.14245878175137,454,Hazardous,no2,483,Hazardous,co,152.67,187.74,168.88,48.0,49.09,110.85,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 05:08:06.599624,85.8301371011637,70.11991628980991,454,Hazardous,no2,212,Very Unhealthy,no2,59.15,110.24,125.24,142.18,175.5,60.55,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 10:38:06.599635,82.88512733289991,4.413144608534083,57,Moderate,no2,175,Unhealthy,o3,78.81,10.91,144.84,105.72,148.18,85.74,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-21 05:29:06.599646,-13.303218024352347,178.34436710028905,489,Hazardous,co,169,Unhealthy,pm10,195.91,32.12,106.95,60.56,193.05,81.36,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 03:13:06.599657,40.112595860113885,-111.5560679425024,77,Moderate,pm10,438,Hazardous,no2,36.04,179.31,85.29,62.83,143.01,190.68,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-22 10:40:06.599668,-25.42731253905734,88.25936455280242,104,Unhealthy for Sensitive Groups,pm25,328,Hazardous,pm25,73.5,48.66,89.8,1.69,35.21,151.27,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 05:11:06.599679,-33.06902422885586,-81.39114792661519,454,Hazardous,pm10,440,Hazardous,so2,136.9,32.31,112.93,155.59,24.02,37.71,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 15:22:06.599691,-54.74229982825262,-36.09736058614976,49,Good,o3,380,Hazardous,so2,66.64,32.7,12.67,19.65,140.86,102.59,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-24 19:23:06.599701,52.18829928812494,54.73342600344043,3,Good,no2,88,Moderate,pm25,72.71,169.3,186.52,134.19,71.11,107.42,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-22 13:37:06.599714,-19.839165088983037,78.78909388457095,321,Hazardous,pm25,333,Hazardous,no2,130.22,37.8,144.93,196.13,133.11,66.91,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 12:37:06.599731,82.7361570096071,36.88966148540115,80,Moderate,co,311,Hazardous,no2,12.32,8.9,16.76,26.57,11.07,145.68,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-24 17:53:06.599749,-81.66535993965566,-151.24293853176064,112,Unhealthy for Sensitive Groups,pm25,213,Very Unhealthy,co,94.88,141.69,193.67,195.89,160.45,56.13,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 03:09:06.599769,34.714560079873735,138.1607727628164,69,Moderate,pm10,312,Hazardous,so2,27.24,100.05,103.41,53.64,37.73,129.78,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-21 06:25:06.599780,-17.98760593692009,-74.93736277407386,449,Hazardous,pm10,272,Very Unhealthy,no2,18.57,149.87,96.32,175.71,2.78,50.15,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 23:56:06.599791,60.999466054664225,156.5347543804283,304,Hazardous,so2,400,Hazardous,pm10,6.79,128.26,69.46,119.76,191.53,173.79,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 14:31:06.599801,18.775306468041336,12.701247233020212,360,Hazardous,so2,325,Hazardous,no2,183.7,77.34,155.4,9.87,91.27,46.03,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 15:16:06.599813,28.9155321092243,28.294255849961928,28,Good,pm10,365,Hazardous,so2,137.09,127.95,89.85,12.37,153.57,110.59,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-23 14:17:06.599827,36.07083264705601,100.40335994970587,133,Unhealthy for Sensitive Groups,no2,430,Hazardous,o3,84.51,165.24,78.84,189.23,133.06,58.99,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 05:58:06.599844,87.38793851727371,-22.643564973589974,108,Unhealthy for Sensitive Groups,so2,500,Hazardous,no2,125.92,4.42,144.04,123.19,26.51,51.77,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 21:53:06.599858,22.136715409504944,-136.83079839705343,148,Unhealthy for Sensitive Groups,o3,42,Good,pm25,72.3,51.69,64.09,186.03,18.57,6.21,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 21:41:06.599870,-53.304066292137925,79.13570080670291,126,Unhealthy for Sensitive Groups,co,423,Hazardous,pm10,12.38,67.67,7.99,24.31,148.71,97.22,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 23:28:06.599881,81.90428879453393,-126.26382754163097,204,Very Unhealthy,no2,87,Moderate,o3,101.39,146.54,109.64,114.28,163.69,82.36,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 23:46:06.599892,-81.86739095319118,-148.49414964023347,494,Hazardous,co,428,Hazardous,pm10,122.53,97.38,80.51,0.1,12.47,185.56,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 03:20:06.599903,-33.72110462446382,53.83640261510428,123,Unhealthy for Sensitive Groups,co,13,Good,pm10,50.95,109.44,68.07,175.14,116.77,176.41,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 05:55:06.599915,-69.6660815945644,-147.69014389565427,436,Hazardous,pm10,265,Very Unhealthy,o3,6.22,141.92,25.21,50.62,92.25,96.24,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 02:15:06.599932,50.1675710083818,116.85589126123062,417,Hazardous,pm10,51,Moderate,co,146.64,93.39,159.21,136.77,137.49,188.96,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 06:47:06.599950,-78.5116723368122,91.77932687914648,33,Good,co,79,Moderate,so2,74.75,18.85,7.68,195.73,24.29,41.47,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-21 00:02:06.599961,-79.8687402530753,-118.94349947214057,34,Good,no2,427,Hazardous,so2,197.54,176.45,146.34,122.71,82.76,136.94,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-26 12:52:06.599972,-47.83890377950866,71.72867511945898,229,Very Unhealthy,no2,311,Hazardous,no2,0.1,63.22,178.93,122.3,123.31,75.29,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 22:50:06.599983,74.79021216224248,120.99225654783157,217,Very Unhealthy,no2,322,Hazardous,pm25,191.55,3.23,1.72,128.69,105.36,69.22,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 07:12:06.599993,55.11259975083573,-160.82199380734383,116,Unhealthy for Sensitive Groups,pm25,378,Hazardous,no2,10.42,106.3,68.48,51.53,24.6,194.06,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 10:18:06.600004,39.58255052346976,36.210058131434636,117,Unhealthy for Sensitive Groups,o3,6,Good,pm25,75.66,12.38,86.57,135.23,57.76,142.5,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 20:51:06.600015,76.11589307338443,24.18858661492706,345,Hazardous,o3,33,Good,o3,191.59,165.43,114.1,145.58,92.57,111.58,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 07:17:06.600025,25.562937418344447,-85.04656418435356,233,Very Unhealthy,pm25,130,Unhealthy for Sensitive Groups,co,1.19,95.81,32.91,130.68,105.79,151.19,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 18:43:06.600036,13.968874717457567,4.868287732783983,365,Hazardous,o3,159,Unhealthy,so2,130.19,16.03,118.89,38.45,143.24,192.62,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 06:58:06.600046,-67.95934435388698,139.3722884606176,150,Unhealthy for Sensitive Groups,pm25,244,Very Unhealthy,no2,30.25,158.4,5.41,79.16,116.78,19.66,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 02:01:06.600056,77.40377260295,35.197993302145505,137,Unhealthy for Sensitive Groups,pm25,350,Hazardous,so2,192.39,191.16,80.9,118.62,190.0,198.75,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 00:16:06.600067,44.56097793099113,-91.98314900359863,53,Moderate,o3,166,Unhealthy,no2,92.83,97.97,105.74,67.61,185.99,65.02,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-24 22:24:06.600078,-37.74658041590044,119.6127036108117,310,Hazardous,no2,99,Moderate,no2,71.1,107.45,132.48,131.57,35.29,89.27,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 15:00:06.600094,-9.323537333360676,-100.24810110766083,101,Unhealthy for Sensitive Groups,no2,397,Hazardous,co,64.12,161.96,3.44,121.02,114.0,19.96,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 14:33:06.600112,40.10750408737036,-9.338113600671448,446,Hazardous,co,174,Unhealthy,co,19.58,178.72,10.56,180.71,53.64,83.42,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 13:26:06.600129,-34.76112297208387,-169.0678183119316,166,Unhealthy,co,464,Hazardous,o3,155.43,48.77,101.25,135.58,45.84,139.04,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 21:26:06.600147,-58.303009938534075,64.86376329823278,71,Moderate,no2,182,Unhealthy,pm25,73.14,72.3,48.93,151.1,144.57,160.9,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-22 13:10:06.600164,-73.49538916111948,170.2501745026023,479,Hazardous,o3,377,Hazardous,so2,109.19,173.76,26.75,104.74,108.64,33.93,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 10:55:06.600178,53.29925140573155,107.94102498100511,430,Hazardous,o3,244,Very Unhealthy,pm10,149.19,120.68,182.99,140.85,61.17,24.59,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-21 09:57:06.600188,85.3870516406744,-143.46724420072044,404,Hazardous,so2,309,Hazardous,no2,112.08,129.83,54.36,27.6,198.53,62.16,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-25 19:00:06.600199,14.080875521640678,22.049435880009526,104,Unhealthy for Sensitive Groups,no2,252,Very Unhealthy,so2,48.78,118.47,20.92,153.92,198.49,31.23,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-27 10:32:06.600209,-85.75573765207571,19.28102483869918,337,Hazardous,pm10,230,Very Unhealthy,o3,80.42,82.16,11.74,156.55,89.32,27.99,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 13:27:06.600219,-16.582043061260023,31.761395131771252,384,Hazardous,pm10,475,Hazardous,o3,177.84,5.34,147.61,81.65,18.52,47.83,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 06:08:06.600229,-13.76522348569138,-151.54913190356118,309,Hazardous,co,357,Hazardous,so2,74.55,131.84,193.47,57.42,159.26,126.42,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 03:09:06.600240,-84.94675056177026,-76.27685539481132,196,Unhealthy,so2,228,Very Unhealthy,o3,131.59,49.52,44.28,170.45,13.17,47.67,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 15:22:06.600251,24.3343020433975,-132.01167645792415,390,Hazardous,o3,406,Hazardous,co,141.03,70.37,194.73,85.81,15.96,43.52,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-26 11:31:06.600268,65.45730626376815,165.92463704867777,11,Good,pm10,490,Hazardous,so2,114.57,82.93,123.09,199.76,150.81,37.93,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-27 06:51:06.600285,53.79871807851947,98.94378176141748,35,Good,pm25,195,Unhealthy,co,22.81,187.84,81.11,7.65,130.86,37.06,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-24 03:03:06.600302,68.10218824877524,74.78128902404708,140,Unhealthy for Sensitive Groups,o3,318,Hazardous,so2,197.46,174.67,186.76,47.84,173.97,83.3,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 02:25:06.600320,5.896033183652989,-102.03276368918146,451,Hazardous,no2,134,Unhealthy for Sensitive Groups,so2,36.19,191.59,26.79,39.0,31.43,159.42,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
